Key,Source,Russian,English
"Config:GameConfig.Enemies.Array.data[8].Name","Config:GameConfig","Ящер воин",
"Config:GameConfig.Enemies.Array.data[9].Description","Config:GameConfig","Съел последнего героя и его лошадь — заодно и трактир, где тот хвастался победой. Осторожнее.",
"Config:GameConfig.Enemies.Array.data[9].Name","Config:GameConfig","Дракон",
"Config:GameConfig.PlayerClasses.Array.data[0].Name","Config:GameConfig","Ланцелот",
"Config:GameConfig.PlayerClasses.Array.data[1].Name","Config:GameConfig","Робин Гуд",
"Config:GameConfig.PlayerClasses.Array.data[2].Name","Config:GameConfig","Мэрлин",
"Config:InnkeeperConfig._messages.Array.data[0]","Config:InnkeeperConfig","Путник, добро пожаловать!",
"Config:InnkeeperConfig._messages.Array.data[1]","Config:InnkeeperConfig","Добро пожаловать в таверну!",
"Config:InnkeeperConfig._messages.Array.data[2]","Config:InnkeeperConfig","Приключения ждут вас!",
"Config:InnkeeperConfig._messages.Array.data[3]","Config:InnkeeperConfig","На дорогах нынче не спокойно.",
"Config:InnkeeperConfig._messages.Array.data[4]","Config:InnkeeperConfig","Монстры повадились нападать на простых путников.",
"Config:InnkeeperConfig._messages.Array.data[5]","Config:InnkeeperConfig","Не спокойные времена настали.",
"Config:InnkeeperConfig._messages.Array.data[6]","Config:InnkeeperConfig","Ваше присутствие - это честь для нас!",
"Config:InnkeeperConfig._messages.Array.data[7]","Config:InnkeeperConfig","Говорят, что появился герой, что истребляет нечисть.",
"Config:InnkeeperConfig._messages.Array.data[8]","Config:InnkeeperConfig","Говорят, что великое зло затаилось в древней роще.",
"Config:InnkeeperConfig._messages.Array.data[9]","Config:InnkeeperConfig","Говорят, что мёртвые встают из могил.",
"Config:SplashTipsConfig._tips.Array.data[0]","Config:SplashTipsConfig","Полируем доспехи",
"Config:SplashTipsConfig._tips.Array.data[1]","Config:SplashTipsConfig","Потеряли меч",
"Config:SplashTipsConfig._tips.Array.data[10]","Config:SplashTipsConfig","Точим косу",
"Config:SplashTipsConfig._tips.Array.data[11]","Config:SplashTipsConfig","Варим зелье неизвестного назначения",
"Config:SplashTipsConfig._tips.Array.data[12]","Config:SplashTipsConfig","Прогоняем крыс из таверны",
"Config:SplashTipsConfig._tips.Array.data[13]","Config:SplashTipsConfig","Спорим с гоблином о цене",
"Config:SplashTipsConfig._tips.Array.data[14]","Config:SplashTipsConfig","Заряжаем кубики (никому не говори)",
"Config:SplashTipsConfig._tips.Array.data[2]","Config:SplashTipsConfig","Потерял мою прелесть...",
"Config:SplashTipsConfig._tips.Array.data[3]","Config:SplashTipsConfig","Бросаем кубики",
"Config:SplashTipsConfig._tips.Array.data[4]","Config:SplashTipsConfig","Точим кости",
"Config:SplashTipsConfig._tips.Array.data[5]","Config:SplashTipsConfig","Трактирщик считает монеты",
"Config:SplashTipsConfig._tips.Array.data[6]","Config:SplashTipsConfig","Прячем труп под лестницей",
"Config:SplashTipsConfig._tips.Array.data[7]","Config:SplashTipsConfig","Договариваемся с драконом",
"Config:SplashTipsConfig._tips.Array.data[8]","Config:SplashTipsConfig","Ищем выход из подземелья",
"Config:SplashTipsConfig._tips.Array.data[9]","Config:SplashTipsConfig","Пересчитываем оставшихся героев",
"Prefab:CreditsItem.CreditsItem","Prefab:CreditsItem","Backgrounds - maciaz",
"Prefab:Dice.Dice/Multiplier","Prefab:Dice","x3",
"Prefab:InventoryItem.InventoryItem/Description_Text","Prefab:InventoryItem","Description",
"Prefab:InventoryItem.InventoryItem/DiceSlot/Dice/Multiplier","Prefab:InventoryItem","x3",
"Prefab:InventoryItem.InventoryItem/Title_Text","Prefab:InventoryItem","Title",
"Prefab:LabelButton.LabelButton/Label","Prefab:LabelButton","Roll",
"Prefab:RewardItem.RewardItem/Text_(TMP)","Prefab:RewardItem","Награда",
"Prefab:Slider.Slider/Title","Prefab:Slider","Музыка",
"Prefab:StatItem.StatItem/Value_Text","Prefab:StatItem","10/10",
"Prefab:UnitPanel.UnitPanel/Title","Prefab:UnitPanel","Hero (you)",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Armor)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Attack)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitPanel.UnitPanel/UnitStats/StatItem(Heallth)/Value_Text","Prefab:UnitPanel","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Armor)/Value_Text","Prefab:UnitStats","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Attack)/Value_Text","Prefab:UnitStats","10/10",
"Prefab:UnitStats.UnitStats/StatItem(Heallth)/Value_Text","Prefab:UnitStats","10/10",
"Prefab:Window.Window/Title","Prefab:Window","Заголовок",
"Scene:Boot.RootUI/SplashScreen/SplashTip","Scene:Boot","Загрузка",
"Scene:Main.RootUI/ConfirmWindow/Substrate/Window/LabelButton(Accept)/Label","Scene:Main","да",
"Scene:Main.RootUI/ConfirmWindow/Substrate/Window/LabelButton(Cancel)/Label","Scene:Main","нет",
"Scene:Main.RootUI/ConfirmWindow/Substrate/Window/Message","Scene:Main","вы уверены, что хотите выйти? весь прогрес боя будет потерян",
"Scene:Main.RootUI/ConfirmWindow/Substrate/Window/Title","Scene:Main","Выход",
"Scene:Main.RootUI/CreditsWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/CreditsItem","Scene:Main","Backgrounds - maciaz",
"Scene:Main.RootUI/CreditsWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/CreditsItem_(1)","Scene:Main","Forest Folk - prompt.fm",
"Scene:Main.RootUI/CreditsWindow/Substrate/Window/Title","Scene:Main","Credits",
"Scene:Main.RootUI/GameOverScreen/Button(Restart)/Label","Scene:Main","Переиграть",
"Scene:Main.RootUI/GameOverScreen/FinalScore_Text","Scene:Main","You have defeated 5 enemies!",
"Scene:Main.RootUI/GameScreen/Bot/Button(All)/Label","Scene:Main","Все",
"Scene:Main.RootUI/GameScreen/Bot/Button(Context)/Label","Scene:Main","Контекст",
"Scene:Main.RootUI/GameScreen/Bot/Button(Help)/Label","Scene:Main","подсказки трактирщика",
"Scene:Main.RootUI/GameScreen/GameBoard/DiceHolder/Hint/HintMessage","Scene:Main","You can choose the dice to avoid throwing them.",
"Scene:Main.RootUI/GameScreen/GameBoard/DiceShaker/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/Title","Scene:Main","Enemy #1",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Enemy)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/Title","Scene:Main","Hero (you)",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/GameScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/HelpWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/Message","Scene:Main","Как играть:

  • Бросайте кости (до 3 попыток) — получите урон, броню и лечение.
  • В свой ход герой лечится, получает броню и бьёт врага (минус его броня).
  • Затем враг бьёт героя (минус броня героя), после чего броня героя спадает.
  • Цель — снизить здоровье врага до нуля раньше, чем он ваше.",
"Scene:Main.RootUI/HelpWindow/Substrate/Window/Title","Scene:Main","Help",
"Scene:Main.RootUI/InventoryScreen/DiceHolder/Hint/HintMessage","Scene:Main","5 из 5",
"Scene:Main.RootUI/InventoryScreen/DiceSpawn/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Placeholder_Text","Scene:Main","placeholder",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/InventoryScreen/Items_ScrollView/Viewport/ItemsSpawn/InventaryItem/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/InventoryScreen/Title","Scene:Main","Инвентарь",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/Title","Scene:Main","Hero (you)",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/InventoryScreen/Top/UnitPanel(Player)/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/InventoryItem_0/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/Description_Text","Scene:Main","Description",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/DiceSlot/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/InventoryItem_1/Title_Text","Scene:Main","Title",
"Scene:Main.RootUI/LootScreen/Message_Text","Scene:Main","Выберите награду",
"Scene:Main.RootUI/LootScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/LootScreen/Title_Text","Scene:Main","Победа!
",
"Scene:Main.RootUI/MainMenuScreen/Bottom/Button(Options)/Label","Scene:Main","настройки",
"Scene:Main.RootUI/MainMenuScreen/Bottom/Button(Start)/Label","Scene:Main","в таверну",
"Scene:Main.RootUI/MainMenuScreen/Button(Language)/Label","Scene:Main","РУС",
"Scene:Main.RootUI/MainMenuScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/MainMenuScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/MainMenuScreen/RollAnimationArea/Dice/Multiplier","Scene:Main","x3",
"Scene:Main.RootUI/MainMenuScreen/Title","Scene:Main","Герои и кости",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Button(Credits)/Label","Scene:Main","Авторы",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Button(Credits)/Label","Scene:Main","Credits",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Button(Language)/Label","Scene:Main","SH",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Slider(Music)/Title","Scene:Main","Музыка",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Slider(Sound)/Title","Scene:Main","Звук",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Title","Scene:Main","Настройки",
"Scene:Main.RootUI/OptionsWindow/Substrate/Window/Version","Scene:Main","v.0.0.1",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/Scroll_View/Viewport/ItemsSpawn/Description","Scene:Main","Enemy descriptions",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/Title","Scene:Main","Next enemy",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/Title","Scene:Main","Enemy",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Armor)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Attack)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/QuestWindow/Substrate/Window/UnitPanel/UnitStats/StatItem(Heallth)/Value_Text","Scene:Main","10/10",
"Scene:Main.RootUI/TavernScreen/Button(Inventory)/Label","Scene:Main","Снаряжение",
"Scene:Main.RootUI/TavernScreen/Button(Restart)/Label","Scene:Main","новые герои",
"Scene:Main.RootUI/TavernScreen/Button(Start)/Label","Scene:Main","приключение",
"Scene:Main.RootUI/TavernScreen/Innkeeper/LabelButton(Quest)/Label","Scene:Main","задание",
"Scene:Main.RootUI/TavernScreen/Innkeeper/Message","Scene:Main","Добро пожаловать в таверну!",
"Scene:Main.RootUI/TopBar/Panel/Button(Back)/Label","Scene:Main","Назад",
"Scene:Main.RootUI/TopBar/Panel/Button(Options)/Label","Scene:Main","Настройки",
